<NUMBER OF NODES> 13										
<NUMBER OF LINKS> 38											
<END OF METADATA>											


~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
	1	3	3600	8	10	0.15	4	0	0	0	;
    1	5	3600	8	10	0.15	4	0	0	0	;
    2	3	3600	8	10	0.15	4	0	0	0	;
    2	4	3600	8	14.1	0.15	4	0	0	0	;
    3	1	3600	8	10	0.15	4	0	0	0	;
    3	2	3600	8	10	0.15	4	0	0	0	;
    3	4	3600	8	10	0.15	4	0	0	0	;
    3	6	3600	8	10	0.15	4	0	0	0	;
    4	2	3600	8	14.1	0.15	4	0	0	0	;
    4	3	3600	8	10	0.15	4	0	0	0	;
    4	7	3600	8	10	0.15	4	0	0	0	;
    4	8	3600	8	14.1	0.15	4	0	0	0	;
    5	1	3600	8	10	0.15	4	0	0	0	;
    5	6	3600	8	10	0.15	4	0	0	0	;
    5	12	3600	8	22.4	0.15	4	0	0	0	;
    6	3	3600	8	10	0.15	4	0	0	0	;
    6	5	3600	8	10	0.15	4	0	0	0	;
    6	7	3600	8	10	0.15	4	0	0	0	;
    6	9	3600	8	10	0.15	4	0	0	0	;
    7	4	3600	8	10	0.15	4	0	0	0	;
    7	6	3600	8	10	0.15	4	0	0	0	;
    7	10	3600	8	10	0.15	4	0	0	0	;
    8	4	3600	8	14.1	0.15	4	0	0	0	;
    8	11	3600	8	10	0.15	4	0	0	0	;
    9	6	3600	8	10	0.15	4	0	0	0	;
    9	10	3600	8	10	0.15	4	0	0	0	;
    9	12	3600	8	10	0.15	4	0	0	0	;
    10	7	3600	8	10	0.15	4	0	0	0	;
    10	9	3600	8	10	0.15	4	0	0	0	;
    10	11	3600	8	10	0.15	4	0	0	0	;
    10	13	3600	8	10	0.15	4	0	0	0	;
    11	8	3600	8	10	0.15	4	0	0	0	;
    11	10	3600	8	10	0.15	4	0	0	0	;
    12	5	3600	8	22.4	0.15	4	0	0	0	;
    12	9	3600	8	10	0.15	4	0	0	0	;
    12	13	3600	8	10	0.15	4	0	0	0	;
    13	10	3600	8	10	0.15	4	0	0	0	;
    13	12	3600	8	10	0.15	4	0	0	0	;
